|        X         |        Y         |Zx |Nx |Zy |Ny | F |N0 |       out        |Zr |Ng |
| 0100100000100111 | 0001110111101010 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
| 0100100000100111 | 0001110111101010 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0100100000100111 | 0001110111101010 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 0100100000100111 | 0001110111101010 | 0 | 0 | 1 | 1 | 0 | 0 | 0100100000100111 | 0 | 0 |
| 0100100000100111 | 0001110111101010 | 1 | 1 | 0 | 0 | 0 | 0 | 0001110111101010 | 0 | 0 |
| 0100100000100111 | 0001110111101010 | 0 | 0 | 1 | 1 | 0 | 1 | 1011011111011000 | 0 | 1 |
| 0100100000100111 | 0001110111101010 | 1 | 1 | 0 | 0 | 0 | 1 | 1110001000010101 | 0 | 1 |
| 0100100000100111 | 0001110111101010 | 0 | 0 | 1 | 1 | 1 | 1 | 1011011111011001 | 0 | 1 |
| 0100100000100111 | 0001110111101010 | 1 | 1 | 0 | 0 | 1 | 1 | 1110001000010110 | 0 | 1 |
| 0100100000100111 | 0001110111101010 | 0 | 1 | 1 | 1 | 1 | 1 | 0100100000101000 | 0 | 0 |
| 0100100000100111 | 0001110111101010 | 1 | 1 | 0 | 1 | 1 | 1 | 0001110111101011 | 0 | 0 |
| 0100100000100111 | 0001110111101010 | 0 | 0 | 1 | 1 | 1 | 0 | 0100100000100110 | 0 | 0 |
| 0100100000100111 | 0001110111101010 | 1 | 1 | 0 | 0 | 1 | 0 | 0001110111101001 | 0 | 0 |
| 0100100000100111 | 0001110111101010 | 0 | 0 | 0 | 0 | 1 | 0 | 0110011000010001 | 0 | 0 |
| 0100100000100111 | 0001110111101010 | 0 | 1 | 0 | 0 | 1 | 1 | 0010101000111101 | 0 | 0 |
| 0100100000100111 | 0001110111101010 | 0 | 0 | 0 | 1 | 1 | 1 | 1101010111000011 | 0 | 1 |
| 0100100000100111 | 0001110111101010 | 0 | 0 | 0 | 0 | 0 | 0 | 0000100000100010 | 0 | 0 |
| 0100100000100111 | 0001110111101010 | 0 | 1 | 0 | 1 | 0 | 1 | 0101110111101111 | 0 | 0 |
| 0110111101110110 | 1111101111110111 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
| 0110111101110110 | 1111101111110111 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0110111101110110 | 1111101111110111 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 0110111101110110 | 1111101111110111 | 0 | 0 | 1 | 1 | 0 | 0 | 0110111101110110 | 0 | 0 |
| 0110111101110110 | 1111101111110111 | 1 | 1 | 0 | 0 | 0 | 0 | 1111101111110111 | 0 | 1 |
| 0110111101110110 | 1111101111110111 | 0 | 0 | 1 | 1 | 0 | 1 | 1001000010001001 | 0 | 1 |
| 0110111101110110 | 1111101111110111 | 1 | 1 | 0 | 0 | 0 | 1 | 0000010000001000 | 0 | 0 |
| 0110111101110110 | 1111101111110111 | 0 | 0 | 1 | 1 | 1 | 1 | 1001000010001010 | 0 | 1 |
| 0110111101110110 | 1111101111110111 | 1 | 1 | 0 | 0 | 1 | 1 | 0000010000001001 | 0 | 0 |
| 0110111101110110 | 1111101111110111 | 0 | 1 | 1 | 1 | 1 | 1 | 0110111101110111 | 0 | 0 |
| 0110111101110110 | 1111101111110111 | 1 | 1 | 0 | 1 | 1 | 1 | 1111101111111000 | 0 | 1 |
| 0110111101110110 | 1111101111110111 | 0 | 0 | 1 | 1 | 1 | 0 | 0110111101110101 | 0 | 0 |
| 0110111101110110 | 1111101111110111 | 1 | 1 | 0 | 0 | 1 | 0 | 1111101111110110 | 0 | 1 |
| 0110111101110110 | 1111101111110111 | 0 | 0 | 0 | 0 | 1 | 0 | 0110101101101101 | 0 | 0 |
| 0110111101110110 | 1111101111110111 | 0 | 1 | 0 | 0 | 1 | 1 | 0111001101111111 | 0 | 0 |
| 0110111101110110 | 1111101111110111 | 0 | 0 | 0 | 1 | 1 | 1 | 1000110010000001 | 0 | 1 |
| 0110111101110110 | 1111101111110111 | 0 | 0 | 0 | 0 | 0 | 0 | 0110101101110110 | 0 | 0 |
| 0110111101110110 | 1111101111110111 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111110111 | 0 | 1 |
